name,latitude,longitude,country_code
Pampa del Infierno,-26.50353,-61.17654,AR
Palpalá,-24.25798,-65.21358,AR
Palma Sola,-23.97771,-64.30311,AR
Oro Verde,-31.82462,-60.51633,AR
Ordoñez,-32.84114,-62.86595,AR
Oncativo,-31.9134,-63.68214,AR
Olta,-30.63024,-66.26671,AR
Oliva,-32.03823,-63.57063,AR
Olavarría,-36.89384,-60.32319,AR
Obispo Trejo,-30.78119,-63.41012,AR
Nueve de Julio,-35.44394,-60.88463,AR
Nueve de Julio,-31.6692,-68.39013,AR
Nueva Esperanza,-26.19907,-64.23792,AR
Ñorquincó,-41.85029,-70.90194,AR
Nono,-31.79723,-65.00256,AR
Noetinger,-32.36604,-62.30723,AR
Neuquén,-38.95078,-68.0592,AR
Naschel,-32.91656,-65.37535,AR
Napenay,-26.72992,-60.61737,AR
Mutquin,-28.31539,-66.14787,AR
Morteros,-30.71066,-62.00714,AR
Morrison,-32.5948,-62.83455,AR
Monteros,-27.16825,-65.49892,AR
Monte Quemado,-25.80357,-62.83013,AR
Monte Maíz,-33.20424,-62.60052,AR
Monte Hermoso,-38.9825,-61.29472,AR
Montecristo,-31.34136,-63.94535,AR
Monte Buey,-32.91649,-62.4564,AR
Molinos,-25.43935,-66.29412,AR
Miramar,-30.91508,-62.67504,AR
Mina Clavero,-31.72945,-65.00501,AR
Milagro,-31.00831,-65.99103,AR
Miguel Riglos,-36.8537,-63.68857,AR
San José de Metán,-25.49711,-64.97106,AR
Merlo,-32.34288,-65.01396,AR
Mendoza,-32.88946,-68.84582,AR
Mendiolaza,-31.26406,-64.30913,AR
Melincué,-33.66087,-61.45654,AR
Médanos,-38.82923,-62.69348,AR
Mattaldi,-34.48198,-64.17194,AR
Marull,-30.99391,-62.82537,AR
Mariano Moreno,-38.76272,-70.03731,AR
Marcos Juárez,-32.6978,-62.10672,AR
Maquinchao,-41.24912,-68.70321,AR
